frame cylLigand relX relY relZ cyl20 cyl25 cyl30 cyl46 cyl6 distToBindingSiteCOM absX absY absZ
0 4.44091378249114e-15 5.82365614046010e+00 6.90415334917057e-02 -2.78097054144521e+00 1.36415175854027e+01 8.48691022948814e+00 1.53910675314414e+01 1.86648702790039e+01 1.07666997552681e+01 6.45395496792870e+00 2.67448061572448e+01 -2.31330845830670e+00 6.80927947381357e+00 
1 5.34200344979262e-01 5.48277836699906e+00 -3.42264134030888e-01 -4.01426733934834e+00 1.36461351050512e+01 8.12565040794195e+00 1.54962562549689e+01 1.90474012094968e+01 1.17358478858490e+01 6.80384785476833e+00 2.68273242512273e+01 -2.52249606171029e+00 5.52192581824922e+00 
2 4.12331091930859e-01 5.93705388060682e+00 -3.27389900557755e-01 -3.43830696789476e+00 1.32886851503671e+01 8.02635198783769e+00 1.59750041457895e+01 1.88205229462401e+01 1.15089530964977e+01 6.86860595271627e+00 2.64692100835885e+01 -2.38805980481576e+00 5.69112991438818e+00 
3 7.96156188837913e-01 6.05686494534818e+00 -6.92193207141948e-01 -3.06626884446539e+00 1.37190315493637e+01 8.33356900882476e+00 1.60477862895362e+01 1.87452597553833e+01 1.19119561313141e+01 6.82398336961193e+00 2.62921667633471e+01 -2.92148609884271e+00 6.03075872261315e+00 
4 6.66651769169013e-01 5.78979383080596e+00 -5.96749669004288e-01 -3.54716723334149e+00 1.35867717009741e+01 8.15123372612158e+00 1.62287155952341e+01 1.84882249284753e+01 1.18817845511806e+01 6.81617327772607e+00 2.58991538047567e+01 -2.64586560323483e+00 5.24332018258097e+00 
5 5.55010572215530e-01 5.69306244995378e+00 -4.70385962350831e-01 -3.07007174310532e+00 1.36636020363930e+01 8.43064424840477e+00 1.58753464325914e+01 1.87710611837088e+01 1.15639396259659e+01 6.48518029976532e+00 2.59168263480046e+01 -2.76535476235740e+00 5.95274251844002e+00 
6 7.90187283950513e-01 6.00476497332351e+00 -7.00110944483852e-01 -3.01808163912270e+00 1.33878254605080e+01 8.50279965705465e+00 1.62968172990390e+01 1.88857526187266e+01 1.11066418629741e+01 6.75693528900851e+00 2.61475585152700e+01 -2.85194381743663e+00 5.75590029131223e+00 
7 1.01110653982156e+00 5.86697586766803e+00 -9.41136587487241e-01 -3.43710132654662e+00 1.36545372286020e+01 8.14458896841351e+00 1.66301788349033e+01 1.91562947409794e+01 1.16943380497860e+01 6.86445987948467e+00 2.65311533504845e+01 -3.25881904786845e+00 5.32015888077447e+00 
8 1.04481493459792e+00 5.95951845007440e+00 -9.66902326176920e-01 -3.19393122009397e+00 1.41297859245148e+01 8.01181262523208e+00 1.71664322878515e+01 1.94094310975344e+01 1.14369493297926e+01 6.83022378138773e+00 2.63689274367726e+01 -2.95166587759730e+00 5.38658453279351e+00 
9 5.67649769988317e-01 6.05567103618454e+00 -4.49027332133093e-01 -2.69230043121200e+00 1.41379279522363e+01 7.52122980113635e+00 1.68696135291645e+01 1.96493682719731e+01 1.14909988408101e+01 6.64238352215462e+00 2.63579624370839e+01 -2.34840291250372e+00 6.14494900540434e+00 
