Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -0.7755       -0.0652       -0.8407       -0.8407       
1             10000         +0.6903       -0.063        +0.6273       +0.6273       
2             20000         -1.8789       -0.0576       -1.9365       -1.9365       
3             30000         -0.1356       -0.0513       -0.1869       -0.1869       
4             40000         -1.0814       -0.0558       -1.1372       -1.1372       
5             50000         -1.2825       -0.0508       -1.3333       -1.3333       
6             60000         -2.748        -0.0445       -2.7925       -2.7925       
7             70000         -0.8165       -0.0707       -0.8872       -0.8872       
8             80000         -0.9258       -0.0636       -0.9894       -0.9894       
9             90000         -0.7316       -0.0666       -0.7982       -0.7982       
10            100000        -1.11         -0.0672       -1.1772       -1.1772       
11            110000        -1.5105       -0.0563       -1.5668       -1.5668       
12            120000        -0.4656       -0.0742       -0.5398       -0.5398       
13            130000        -0.857        -0.056        -0.913        -0.913        
14            140000        -0.8048       -0.1094       -0.9142       -0.9142       
15            150000        -0.8217       -0.0837       -0.9054       -0.9054       
16            160000        -0.5112       -0.08         -0.5912       -0.5912       
17            170000        -1.9341       -0.0855       -2.0196       -2.0196       
18            180000        -0.7923       -0.0823       -0.8746       -0.8746       
19            190000        -1.9887       -0.0785       -2.0672       -2.0672       
20            200000        -1.1637       -0.0632       -1.2269       -1.2269       
21            210000        -1.8133       -0.0608       -1.8741       -1.8741       
22            220000        +0.0927       -0.051        +0.0417       +0.0417       
23            230000        -2.353        -0.0848       -2.4378       -2.4378       
24            240000        -1.3418       -0.0778       -1.4196       -1.4196       
25            250000        -1.1729       -0.0632       -1.2361       -1.2361       
26            260000        +0.143        -0.0527       +0.0903       +0.0903       
27            270000        -0.0195       -0.0584       -0.0779       -0.0779       
28            280000        -1.4527       -0.0594       -1.5121       -1.5121       
29            290000        -1.27         -0.0553       -1.3253       -1.3253       
30            300000        -0.1185       -0.0655       -0.184        -0.184        
31            310000        -0.8027       -0.0619       -0.8646       -0.8646       
32            320000        -1.4898       -0.0771       -1.5669       -1.5669       
33            330000        -0.9559       -0.0702       -1.0261       -1.0261       
34            340000        -0.2849       -0.048        -0.3329       -0.3329       
35            350000        -0.8772       -0.058        -0.9352       -0.9352       
36            360000        -2.5919       -0.0724       -2.6643       -2.6643       
37            370000        -1.0408       -0.0627       -1.1035       -1.1035       
38            380000        -1.0009       -0.0654       -1.0663       -1.0663       
39            390000        -0.8078       -0.0486       -0.8564       -0.8564       
40            400000        -1.7403       -0.0719       -1.8122       -1.8122       
41            410000        -0.78         -0.0625       -0.8425       -0.8425       
42            420000        -1.4836       -0.0515       -1.5351       -1.5351       
43            430000        -1.7137       -0.0555       -1.7692       -1.7692       
44            440000        -1.0361       -0.0616       -1.0977       -1.0977       
45            450000        -1.9573       -0.0768       -2.0341       -2.0341       
46            460000        +0.7635       -0.0506       +0.7129       +0.7129       
47            470000        -0.7788       -0.0408       -0.8196       -0.8196       
48            480000        -1.4018       -0.0785       -1.4803       -1.4803       
49            490000        -2.7169       -0.0648       -2.7817       -2.7817       
50            500000        -1.2298       -0.071        -1.3008       -1.3008       
51            510000        -0.8153       -0.0579       -0.8732       -0.8732       
52            520000        -0.9118       -0.0439       -0.9557       -0.9557       
53            530000        -1.2231       -0.0729       -1.296        -1.296        
54            540000        +0.7512       -0.0423       +0.7089       +0.7089       
55            550000        +0.3118       -0.0495       +0.2623       +0.2623       
56            560000        -1.5311       -0.0715       -1.6026       -1.6026       
57            570000        -0.9795       -0.0566       -1.0361       -1.0361       
58            580000        -1.6362       -0.0568       -1.693        -1.693        
59            590000        -0.5257       -0.051        -0.5767       -0.5767       
60            600000        -0.614        -0.0601       -0.6741       -0.6741       
61            610000        -0.39         -0.0678       -0.4578       -0.4578       
62            620000        +0.0457       -0.0617       -0.016        -0.016        
63            630000        -0.9746       -0.087        -1.0616       -1.0616       
64            640000        +0.679        -0.0697       +0.6093       +0.6093       
65            650000        -0.1905       -0.111        -0.3015       -0.3015       
66            660000        -0.2051       -0.0775       -0.2826       -0.2826       
67            670000        -1.0266       -0.0653       -1.0919       -1.0919       
68            680000        -0.1177       -0.0793       -0.197        -0.197        
69            690000        -0.9777       -0.0658       -1.0435       -1.0435       
70            700000        +0.5242       -0.0583       +0.4659       +0.4659       
71            710000        -2.4413       -0.0653       -2.5066       -2.5066       
72            720000        -0.3434       -0.0539       -0.3973       -0.3973       
73            730000        -0.6655       -0.0817       -0.7472       -0.7472       
74            740000        -1.5705       -0.0801       -1.6506       -1.6506       
75            750000        -1.2216       -0.0755       -1.2971       -1.2971       
76            760000        +0.0573       -0.0547       +0.0026       +0.0026       
77            770000        -0.6872       -0.0657       -0.7529       -0.7529       
78            780000        -0.6481       -0.0556       -0.7037       -0.7037       
79            790000        -0.4479       -0.0601       -0.508        -0.508        
80            800000        -1.503        -0.0527       -1.5557       -1.5557       
81            810000        +0.307        -0.0621       +0.2449       +0.2449       
82            820000        -0.4449       -0.0758       -0.5207       -0.5207       
83            830000        -4.2866       -0.0429       -4.3295       -4.3295       
84            840000        +0.8687       -0.0396       +0.8291       +0.8291       
85            850000        -3.3275       -0.0347       -3.3622       -3.3622       
86            860000        -1.4949       -0.0296       -1.5245       -1.5245       
87            870000        +0.0024       -0.046        -0.0436       -0.0436       
88            880000        -1.4446       -0.0524       -1.497        -1.497        
89            890000        +0.2541       -0.066        +0.1881       +0.1881       
90            900000        -1.7083       -0.059        -1.7673       -1.7673       
91            910000        -1.3795       -0.0658       -1.4453       -1.4453       
92            920000        -0.9215       -0.0797       -1.0012       -1.0012       
93            930000        -1.0835       -0.0752       -1.1587       -1.1587       
94            940000        -0.274        -0.0644       -0.3384       -0.3384       
95            950000        +0.1445       -0.0508       +0.0937       +0.0937       
96            960000        -0.5389       -0.0594       -0.5983       -0.5983       
97            970000        -1.4838       -0.0824       -1.5662       -1.5662       
98            980000        -0.9241       -0.0658       -0.9899       -0.9899       
99            990000        -0.728        -0.0713       -0.7993       -0.7993       
100           1000000       +1.0713       -0.0397       +1.0316       +1.0316       
101           1010000       -0.522        -0.0803       -0.6023       -0.6023       
102           1020000       -0.9135       -0.0493       -0.9628       -0.9628       
103           1030000       -0.6341       -0.0601       -0.6942       -0.6942       
104           1040000       -0.7714       -0.0563       -0.8277       -0.8277       
105           1050000       -0.6539       -0.0322       -0.6861       -0.6861       
106           1060000       -0.0743       -0.0648       -0.1391       -0.1391       
107           1070000       -1.1315       -0.0495       -1.181        -1.181        
108           1080000       -2.6922       -0.0749       -2.7671       -2.7671       
109           1090000       -0.6717       -0.0601       -0.7318       -0.7318       
110           1100000       -1.4913       -0.0774       -1.5687       -1.5687       
111           1110000       -1.0635       -0.0502       -1.1137       -1.1137       
112           1120000       -0.563        -0.0577       -0.6207       -0.6207       
113           1130000       -1.8361       -0.0649       -1.901        -1.901        
114           1140000       -0.0974       -0.069        -0.1664       -0.1664       
115           1150000       -0.437        -0.0575       -0.4945       -0.4945       
116           1160000       -0.4102       -0.0833       -0.4935       -0.4935       
117           1170000       -0.2317       -0.0707       -0.3024       -0.3024       
118           1180000       +0.3132       -0.0479       +0.2653       +0.2653       
119           1190000       -2.1611       -0.0731       -2.2342       -2.2342       
120           1200000       -1.3147       -0.0709       -1.3856       -1.3856       
121           1210000       -1.559        -0.0407       -1.5997       -1.5997       
122           1220000       +0.2006       -0.0373       +0.1633       +0.1633       
123           1230000       -4.7205       -0.0536       -4.7741       -4.7741       
124           1240000       -1.6923       -0.0511       -1.7434       -1.7434       
125           1250000       -1.066        -0.0486       -1.1146       -1.1146       
126           1260000       -0.8519       -0.0644       -0.9163       -0.9163       
127           1270000       -1.0456       -0.0451       -1.0907       -1.0907       
128           1280000       -2.0328       -0.0476       -2.0804       -2.0804       
129           1290000       -1.1718       -0.0792       -1.251        -1.251        
130           1300000       -0.4817       -0.0409       -0.5226       -0.5226       
131           1310000       +0.0789       -0.0512       +0.0277       +0.0277       
132           1320000       -1.1193       -0.0636       -1.1829       -1.1829       
133           1330000       -0.9779       -0.076        -1.0539       -1.0539       
134           1340000       -1.3628       -0.1024       -1.4652       -1.4652       
135           1350000       -0.6006       -0.0459       -0.6465       -0.6465       
136           1360000       -1.0001       -0.066        -1.0661       -1.0661       
137           1370000       -0.5965       -0.0791       -0.6756       -0.6756       
138           1380000       -2.2292       -0.0719       -2.3011       -2.3011       
139           1390000       -0.8488       -0.0645       -0.9133       -0.9133       
140           1400000       -0.9452       -0.0891       -1.0343       -1.0343       
141           1410000       -1.9296       -0.0699       -1.9995       -1.9995       
142           1420000       -1.2488       -0.0423       -1.2911       -1.2911       
143           1430000       -1.1133       -0.0716       -1.1849       -1.1849       
144           1440000       -1.1281       -0.0657       -1.1938       -1.1938       
145           1450000       -0.5308       -0.068        -0.5988       -0.5988       
146           1460000       -1.5069       -0.0499       -1.5568       -1.5568       
147           1470000       -0.663        -0.0201       -0.6831       -0.6831       
148           1480000       -1.7011       -0.0608       -1.7619       -1.7619       
149           1490000       -0.9368       -0.0368       -0.9736       -0.9736       
150           1500000       -1.0473       -0.0405       -1.0878       -1.0878       
151           1510000       -1.1256       -0.0508       -1.1764       -1.1764       
152           1520000       -1.3053       -0.0594       -1.3647       -1.3647       
153           1530000       -1.0948       -0.0495       -1.1443       -1.1443       
154           1540000       -0.2257       -0.0771       -0.3028       -0.3028       
155           1550000       -0.959        -0.0761       -1.0351       -1.0351       
156           1560000       -1.2154       -0.0575       -1.2729       -1.2729       
157           1570000       -2.0611       -0.0653       -2.1264       -2.1264       
158           1580000       -0.6918       -0.1045       -0.7963       -0.7963       
159           1590000       -0.4764       -0.0788       -0.5552       -0.5552       
160           1600000       -0.3245       -0.0633       -0.3878       -0.3878       
161           1610000       -1.2097       -0.0801       -1.2898       -1.2898       
162           1620000       -1.268        -0.0872       -1.3552       -1.3552       
163           1630000       -0.5584       -0.0575       -0.6159       -0.6159       
164           1640000       -1.4419       -0.0851       -1.527        -1.527        
165           1650000       -0.6794       -0.0783       -0.7577       -0.7577       
166           1660000       -0.0929       -0.0443       -0.1372       -0.1372       
167           1670000       -0.6421       -0.0503       -0.6924       -0.6924       
168           1680000       -0.7414       -0.0788       -0.8202       -0.8202       
169           1690000       -1.3803       -0.0681       -1.4484       -1.4484       
170           1700000       -0.8248       -0.0646       -0.8894       -0.8894       
171           1710000       -1.4952       -0.0774       -1.5726       -1.5726       
172           1720000       -0.6774       -0.0805       -0.7579       -0.7579       
173           1730000       -0.852        -0.0765       -0.9285       -0.9285       
174           1740000       -0.7505       -0.066        -0.8165       -0.8165       
175           1750000       -0.4872       -0.0524       -0.5396       -0.5396       
176           1760000       -0.7835       -0.064        -0.8475       -0.8475       
177           1770000       -1.1854       -0.0659       -1.2513       -1.2513       
178           1780000       -0.7752       -0.0648       -0.84         -0.84         
179           1790000       -1.8012       -0.0617       -1.8629       -1.8629       
180           1800000       -0.8684       -0.0923       -0.9607       -0.9607       
181           1810000       -0.6499       -0.0778       -0.7277       -0.7277       
182           1820000       -0.1969       -0.0689       -0.2658       -0.2658       
183           1830000       -0.3272       -0.1017       -0.4289       -0.4289       
184           1840000       -1.2716       -0.0653       -1.3369       -1.3369       
185           1850000       -2.0039       -0.1103       -2.1142       -2.1142       
186           1860000       -1.0483       -0.0753       -1.1236       -1.1236       
187           1870000       -0.1597       -0.0822       -0.2419       -0.2419       
188           1880000       -0.2933       -0.0691       -0.3624       -0.3624       
189           1890000       -1.039        -0.0826       -1.1216       -1.1216       
190           1900000       -0.3933       -0.0596       -0.4529       -0.4529       
191           1910000       -0.5448       -0.0724       -0.6172       -0.6172       
192           1920000       -1.0448       -0.0559       -1.1007       -1.1007       
193           1930000       -0.7096       -0.0674       -0.777        -0.777        
194           1940000       +0.4807       -0.051        +0.4297       +0.4297       
195           1950000       -0.2909       -0.0567       -0.3476       -0.3476       
196           1960000       -0.3204       -0.0653       -0.3857       -0.3857       
197           1970000       -0.6741       -0.0613       -0.7354       -0.7354       
198           1980000       -0.9067       -0.0739       -0.9806       -0.9806       
199           1990000       -0.5107       -0.0906       -0.6013       -0.6013       
200           2000000       -1.6819       -0.0734       -1.7553       -1.7553       
201           2010000       -0.8414       -0.0719       -0.9133       -0.9133       
202           2020000       -0.2204       -0.0872       -0.3076       -0.3076       
203           2030000       -0.3822       -0.0841       -0.4663       -0.4663       
204           2040000       -0.6841       -0.0782       -0.7623       -0.7623       
205           2050000       -1.4722       -0.0663       -1.5385       -1.5385       
206           2060000       -0.5464       -0.0916       -0.638        -0.638        
207           2070000       -0.9111       -0.0845       -0.9956       -0.9956       
208           2080000       -0.5724       -0.0797       -0.6521       -0.6521       
209           2090000       -0.2799       -0.0718       -0.3517       -0.3517       
210           2100000       -1.5878       -0.0568       -1.6446       -1.6446       
211           2110000       +0.005        -0.0644       -0.0594       -0.0594       
212           2120000       -0.5933       -0.0732       -0.6665       -0.6665       
213           2130000       -0.9208       -0.0944       -1.0152       -1.0152       
214           2140000       -1.9895       -0.0725       -2.062        -2.062        
215           2150000       -0.0868       -0.0612       -0.148        -0.148        
216           2160000       +0.0755       -0.0695       +0.006        +0.006        
217           2170000       -0.8626       -0.0674       -0.93         -0.93         
218           2180000       +1.1807       -0.0505       +1.1302       +1.1302       
219           2190000       -0.829        -0.0611       -0.8901       -0.8901       
220           2200000       -1.2001       -0.0804       -1.2805       -1.2805       
221           2210000       -0.8471       -0.0778       -0.9249       -0.9249       
222           2220000       -0.0797       -0.0865       -0.1662       -0.1662       
223           2230000       +0.0849       -0.0463       +0.0386       +0.0386       
224           2240000       -1.0175       -0.0619       -1.0794       -1.0794       
225           2250000       -0.6327       -0.0508       -0.6835       -0.6835       
226           2260000       -1.9246       -0.0655       -1.9901       -1.9901       
227           2270000       -0.6897       -0.065        -0.7547       -0.7547       
228           2280000       -1.1191       -0.0759       -1.195        -1.195        
229           2290000       -1.4536       -0.084        -1.5376       -1.5376       
230           2300000       -2.3093       -0.0677       -2.377        -2.377        
231           2310000       -1.7269       -0.0485       -1.7754       -1.7754       
232           2320000       -2.9805       -0.075        -3.0555       -3.0555       
233           2330000       -1.1953       -0.0613       -1.2566       -1.2566       
234           2340000       -1.5065       -0.0514       -1.5579       -1.5579       
235           2350000       -1.1136       -0.0732       -1.1868       -1.1868       
236           2360000       -1.1318       -0.0744       -1.2062       -1.2062       
237           2370000       -0.2715       -0.0818       -0.3533       -0.3533       
238           2380000       -0.6521       -0.0817       -0.7338       -0.7338       
239           2390000       -0.3467       -0.0594       -0.4061       -0.4061       
240           2400000       -0.6897       -0.0664       -0.7561       -0.7561       
241           2410000       -0.8385       -0.0522       -0.8907       -0.8907       
242           2420000       -0.7813       -0.0629       -0.8442       -0.8442       
243           2430000       -2.0412       -0.0642       -2.1054       -2.1054       
244           2440000       -1.0714       -0.0635       -1.1349       -1.1349       
245           2450000       -0.5962       -0.0622       -0.6584       -0.6584       
246           2460000       -2.9399       -0.0869       -3.0268       -3.0268       
247           2470000       -1.0821       -0.0594       -1.1415       -1.1415       
248           2480000       -0.843        -0.0624       -0.9054       -0.9054       
249           2490000       -0.3122       -0.0575       -0.3697       -0.3697       
