Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -1.2259       -0.0637       -1.2896       -1.2896       
1             100           -1.7457       -0.1007       -1.8464       -1.8464       
2             200           -1.92         -0.1019       -2.0219       -2.0219       
3             300           -0.8632       -0.0961       -0.9593       -0.9593       
4             400           -0.6862       -0.0771       -0.7633       -0.7633       
5             500           -0.6624       -0.0677       -0.7301       -0.7301       
6             600           -1.5351       -0.0721       -1.6072       -1.6072       
7             700           -0.824        -0.1          -0.924        -0.924        
8             800           -2.2724       -0.0559       -2.3283       -2.3283       
9             900           -1.9951       -0.0931       -2.0882       -2.0882       
10            1000          -1.7032       -0.0779       -1.7811       -1.7811       
11            1100          -1.753        -0.0872       -1.8402       -1.8402       
12            1200          -0.5108       -0.1295       -0.6403       -0.6403       
13            1300          -1.4299       -0.0863       -1.5162       -1.5162       
14            1400          -0.8352       -0.1109       -0.9461       -0.9461       
15            1500          -0.5385       -0.1148       -0.6533       -0.6533       
16            1600          -1.1053       -0.0752       -1.1805       -1.1805       
17            1700          -3.08         -0.1045       -3.1845       -3.1845       
18            1800          -1.0857       -0.0991       -1.1848       -1.1848       
19            1900          -1.5494       -0.0705       -1.6199       -1.6199       
20            2000          -1.3356       -0.0715       -1.4071       -1.4071       
21            2100          -1.431        -0.0516       -1.4826       -1.4826       
22            2200          -1.3999       -0.0794       -1.4793       -1.4793       
23            2300          -3.2692       -0.0523       -3.3215       -3.3215       
24            2400          -2.9021       -0.0509       -2.953        -2.953        
25            2500          -2.3488       -0.0714       -2.4202       -2.4202       
26            2600          -2.1107       -0.058        -2.1687       -2.1687       
27            2700          -2.2325       -0.0493       -2.2818       -2.2818       
28            2800          -1.0998       -0.0747       -1.1745       -1.1745       
29            2900          -1.1505       -0.055        -1.2055       -1.2055       
30            3000          -0.837        -0.0683       -0.9053       -0.9053       
31            3100          -1.835        -0.0731       -1.9081       -1.9081       
32            3200          -1.8334       -0.0814       -1.9148       -1.9148       
33            3300          -2.2164       -0.0686       -2.285        -2.285        
34            3400          -1.3985       -0.0634       -1.4619       -1.4619       
35            3500          -1.35         -0.0657       -1.4157       -1.4157       
36            3600          -1.5862       -0.0396       -1.6258       -1.6258       
37            3700          -1.516        -0.0702       -1.5862       -1.5862       
38            3800          -1.2901       -0.0298       -1.3199       -1.3199       
39            3900          -1.4141       -0.0534       -1.4675       -1.4675       
40            4000          -2.2337       -0.0817       -2.3154       -2.3154       
41            4100          -2.1514       -0.0544       -2.2058       -2.2058       
42            4200          -2.1654       -0.0624       -2.2278       -2.2278       
43            4300          -2.5655       -0.0373       -2.6028       -2.6028       
44            4400          -0.9417       -0.0538       -0.9955       -0.9955       
45            4500          -0.3922       -0.0482       -0.4404       -0.4404       
46            4600          -0.9147       -0.0395       -0.9542       -0.9542       
47            4700          -1.0158       -0.0528       -1.0686       -1.0686       
48            4800          -1.2917       -0.0221       -1.3138       -1.3138       
49            4900          -0.8753       -0.0539       -0.9292       -0.9292       
50            5000          -1.5001       -0.0361       -1.5362       -1.5362       
51            5100          -0.1097       -0.0408       -0.1505       -0.1505       
52            5200          -1.419        -0.0472       -1.4662       -1.4662       
53            5300          -0.2361       -0.0372       -0.2733       -0.2733       
54            5400          -1.4588       -0.0384       -1.4972       -1.4972       
55            5500          -2.0656       -0.0522       -2.1178       -2.1178       
56            5600          -1.6398       -0.0702       -1.71         -1.71         
57            5700          -3.8973       -0.0551       -3.9524       -3.9524       
58            5800          -2.1455       -0.0487       -2.1942       -2.1942       
59            5900          -1.7566       -0.0481       -1.8047       -1.8047       
60            6000          -1.684        -0.0388       -1.7228       -1.7228       
61            6100          -2.4571       -0.0403       -2.4974       -2.4974       
62            6200          -1.0143       -0.0556       -1.0699       -1.0699       
63            6300          -0.2579       -0.0513       -0.3092       -0.3092       
64            6400          -1.9055       -0.0719       -1.9774       -1.9774       
65            6500          -0.8127       -0.0643       -0.877        -0.877        
66            6600          -0.2535       -0.0388       -0.2923       -0.2923       
67            6700          -1.2236       -0.0522       -1.2758       -1.2758       
68            6800          -1.9156       -0.0571       -1.9727       -1.9727       
69            6900          -0.5801       -0.0629       -0.643        -0.643        
70            7000          -3.8092       -0.0533       -3.8625       -3.8625       
71            7100          -1.1161       -0.0706       -1.1867       -1.1867       
72            7200          -1.3645       -0.0378       -1.4023       -1.4023       
73            7300          -0.4172       -0.073        -0.4902       -0.4902       
74            7400          -1.8613       -0.0634       -1.9247       -1.9247       
75            7500          -0.5022       -0.0654       -0.5676       -0.5676       
76            7600          -1.5524       -0.0692       -1.6216       -1.6216       
77            7700          -1.431        -0.0654       -1.4964       -1.4964       
78            7800          -1.4221       -0.1077       -1.5298       -1.5298       
79            7900          -1.3079       -0.0626       -1.3705       -1.3705       
80            8000          -1.0622       -0.0873       -1.1495       -1.1495       
81            8100          -1.4672       -0.0531       -1.5203       -1.5203       
82            8200          -1.6881       -0.0394       -1.7275       -1.7275       
83            8300          -2.3402       -0.0905       -2.4307       -2.4307       
84            8400          -2.6781       -0.0426       -2.7207       -2.7207       
85            8500          -3.4166       -0.0453       -3.4619       -3.4619       
86            8600          -3.9906       -0.0363       -4.0269       -4.0269       
87            8700          -3.7113       -0.0348       -3.7461       -3.7461       
88            8800          -3.9742       -0.025        -3.9992       -3.9992       
89            8900          -4.1984       -0.0388       -4.2372       -4.2372       
90            9000          -3.7224       -0.0306       -3.753        -3.753        
91            9100          -5.3714       -0.0345       -5.4059       -5.4059       
92            9200          -4.389        -0.0395       -4.4285       -4.4285       
93            9300          -4.7295       -0.0345       -4.764        -4.764        
94            9400          -3.2312       -0.0357       -3.2669       -3.2669       
95            9500          -2.4898       -0.0421       -2.5319       -2.5319       
96            9600          -4.9673       -0.0379       -5.0052       -5.0052       
97            9700          -3.7031       -0.0391       -3.7422       -3.7422       
98            9800          -3.7717       -0.0319       -3.8036       -3.8036       
99            9900          -3.2746       -0.0408       -3.3154       -3.3154       
100           10000         -1.7764       -0.0821       -1.8585       -1.8585       
101           10100         -2.6527       -0.0971       -2.7498       -2.7498       
102           10200         -1.1315       -0.0655       -1.197        -1.197        
103           10300         -1.808        -0.084        -1.892        -1.892        
104           10400         -2.1104       -0.0381       -2.1485       -2.1485       
105           10500         -2.4415       -0.0423       -2.4838       -2.4838       
106           10600         -1.9251       -0.0572       -1.9823       -1.9823       
107           10700         -2.6318       -0.0659       -2.6977       -2.6977       
108           10800         -2.9926       -0.0566       -3.0492       -3.0492       
109           10900         -4.4175       -0.0379       -4.4554       -4.4554       
110           11000         -2.4381       -0.0766       -2.5147       -2.5147       
111           11100         -2.6686       -0.0469       -2.7155       -2.7155       
112           11200         -3.0403       -0.0368       -3.0771       -3.0771       
113           11300         -2.4712       -0.0407       -2.5119       -2.5119       
114           11400         -2.9517       -0.0335       -2.9852       -2.9852       
115           11500         -3.9554       -0.0795       -4.0349       -4.0349       
116           11600         -1.8905       -0.0565       -1.947        -1.947        
117           11700         -2.4447       -0.0568       -2.5015       -2.5015       
118           11800         -2.8489       -0.0436       -2.8925       -2.8925       
