Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -4.9569       -0.2795       -5.2364       -5.2364       
1             10            +6.3815       -0.2624       +6.1191       +6.1191       
2             20            -2.0469       -0.171        -2.2179       -2.2179       
3             30            -6.518        -0.2112       -6.7292       -6.7292       
4             40            -5.4246       -0.2916       -5.7162       -5.7162       
5             50            -0.8554       -0.204        -1.0594       -1.0594       
6             60            +3.291        -0.2596       +3.0314       +3.0314       
7             70            +10.9672      -0.3172       +10.65        +10.65        
8             80            -6.988        -0.2212       -7.2092       -7.2092       
9             90            +0.7541       -0.4119       +0.3422       +0.3422       
10            100           -4.5715       -0.2835       -4.855        -4.855        
11            110           +8.9041       -0.5074       +8.3967       +8.3967       
12            120           +2.4284       -0.3011       +2.1273       +2.1273       
13            130           +6.3306       -0.2535       +6.0771       +6.0771       
14            140           +0.4195       -0.3239       +0.0956       +0.0956       
15            150           -7.0844       -0.2495       -7.3339       -7.3339       
16            160           -0.3574       -0.2784       -0.6358       -0.6358       
17            170           -2.5774       -0.3133       -2.8907       -2.8907       
18            180           -1.4756       -0.1927       -1.6683       -1.6683       
19            190           +0.9362       -0.1944       +0.7418       +0.7418       
20            200           -0.4709       -0.3146       -0.7855       -0.7855       
21            210           +0.3409       -0.2767       +0.0642       +0.0642       
22            220           +6.7336       -0.1751       +6.5585       +6.5585       
23            230           -0.0716       -0.296        -0.3676       -0.3676       
24            240           +2.6544       -0.2445       +2.4099       +2.4099       
25            250           -2.3201       -0.1681       -2.4882       -2.4882       
26            260           +3.2754       -0.2577       +3.0177       +3.0177       
27            270           +1.7232       -0.3582       +1.365        +1.365        
28            280           -0.8296       -0.2812       -1.1108       -1.1108       
29            290           +1.2736       -0.1996       +1.074        +1.074        
30            300           +0.6264       -0.2397       +0.3867       +0.3867       
31            310           -8.2185       -0.3727       -8.5912       -8.5912       
32            320           -4.204        -0.4075       -4.6115       -4.6115       
33            330           +4.8458       -0.3962       +4.4496       +4.4496       
34            340           -5.9516       -0.2684       -6.22         -6.22         
35            350           -4.9276       -0.2497       -5.1773       -5.1773       
36            360           -1.607        -0.2721       -1.8791       -1.8791       
37            370           -3.8272       -0.2037       -4.0309       -4.0309       
38            380           -2.0406       -0.3136       -2.3542       -2.3542       
39            390           +2.1186       -0.2412       +1.8774       +1.8774       
40            400           -7.5799       -0.3889       -7.9688       -7.9688       
41            410           +3.8849       -0.3212       +3.5637       +3.5637       
42            420           -4.1841       -0.418        -4.6021       -4.6021       
43            430           +4.2386       -0.2242       +4.0144       +4.0144       
44            440           -9.5073       -0.2626       -9.7699       -9.7699       
45            450           +5.2389       -0.2225       +5.0164       +5.0164       
46            460           +6.2335       -0.2314       +6.0021       +6.0021       
47            470           +3.4109       -0.1525       +3.2584       +3.2584       
48            480           -9.3687       -0.2901       -9.6588       -9.6588       
49            490           -10.5702      -0.252        -10.8222      -10.8222      
50            500           -1.446        -0.2538       -1.6998       -1.6998       
51            510           +1.8925       -0.2121       +1.6804       +1.6804       
52            520           +4.596        -0.2712       +4.3248       +4.3248       
53            530           +2.5315       -0.2179       +2.3136       +2.3136       
54            540           -0.4125       -0.173        -0.5855       -0.5855       
55            550           +3.2738       -0.2438       +3.03         +3.03         
56            560           +6.7086       -0.2925       +6.4161       +6.4161       
57            570           +2.3441       -0.1758       +2.1683       +2.1683       
58            580           -10.678       -0.2244       -10.9024      -10.9024      
59            590           +0.3837       -0.2725       +0.1112       +0.1112       
60            600           -10.1423      -0.4557       -10.598       -10.598       
61            610           +6.5377       -0.2783       +6.2594       +6.2594       
