Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -0.7755       -0.0652       -0.8407       -0.8407       
1             1             +0.6903       -0.063        +0.6273       +0.6273       
2             2             -1.8789       -0.0576       -1.9365       -1.9365       
3             3             -0.1356       -0.0513       -0.1869       -0.1869       
4             4             -1.0814       -0.0558       -1.1372       -1.1372       
5             5             -1.2825       -0.0508       -1.3333       -1.3333       
6             6             -2.748        -0.0445       -2.7925       -2.7925       
7             7             -0.8165       -0.0707       -0.8872       -0.8872       
8             8             -0.9258       -0.0636       -0.9894       -0.9894       
9             9             -0.7316       -0.0666       -0.7982       -0.7982       
10            10            -1.11         -0.0672       -1.1772       -1.1772       
11            11            -1.5105       -0.0563       -1.5668       -1.5668       
12            12            -0.4656       -0.0742       -0.5398       -0.5398       
13            13            -0.857        -0.056        -0.913        -0.913        
14            14            -0.8048       -0.1094       -0.9142       -0.9142       
15            15            -0.8217       -0.0837       -0.9054       -0.9054       
16            16            -0.5112       -0.08         -0.5912       -0.5912       
17            17            -1.9341       -0.0855       -2.0196       -2.0196       
18            18            -0.7923       -0.0823       -0.8746       -0.8746       
19            19            -1.9887       -0.0785       -2.0672       -2.0672       
20            20            -1.1637       -0.0632       -1.2269       -1.2269       
21            21            -1.8133       -0.0608       -1.8741       -1.8741       
22            22            +0.0927       -0.051        +0.0417       +0.0417       
23            23            -2.353        -0.0848       -2.4378       -2.4378       
24            24            -1.3418       -0.0778       -1.4196       -1.4196       
25            25            -1.1729       -0.0632       -1.2361       -1.2361       
26            26            +0.143        -0.0527       +0.0903       +0.0903       
27            27            -0.0195       -0.0584       -0.0779       -0.0779       
28            28            -1.4527       -0.0594       -1.5121       -1.5121       
29            29            -1.27         -0.0553       -1.3253       -1.3253       
30            30            -0.1185       -0.0655       -0.184        -0.184        
31            31            -0.8027       -0.0619       -0.8646       -0.8646       
32            32            -1.4898       -0.0771       -1.5669       -1.5669       
33            33            -0.9559       -0.0702       -1.0261       -1.0261       
34            34            -0.2849       -0.048        -0.3329       -0.3329       
35            35            -0.8772       -0.058        -0.9352       -0.9352       
36            36            -2.5919       -0.0724       -2.6643       -2.6643       
37            37            -1.0408       -0.0627       -1.1035       -1.1035       
38            38            -1.0009       -0.0654       -1.0663       -1.0663       
39            39            -0.8078       -0.0486       -0.8564       -0.8564       
40            40            -1.7403       -0.0719       -1.8122       -1.8122       
41            41            -0.78         -0.0625       -0.8425       -0.8425       
42            42            -1.4836       -0.0515       -1.5351       -1.5351       
