Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -2.0913       -0.0436       -2.1349       -2.1349       
1             1000          -3.0618       -0.0483       -3.1101       -3.1101       
2             2000          -2.3939       -0.0571       -2.451        -2.451        
3             3000          -2.8953       -0.0395       -2.9348       -2.9348       
4             4000          -3.669        -0.042        -3.711        -3.711        
5             5000          -4.3502       -0.0803       -4.4305       -4.4305       
6             6000          -2.7306       -0.0617       -2.7923       -2.7923       
7             7000          -3.0003       -0.0478       -3.0481       -3.0481       
8             8000          -1.9486       -0.0575       -2.0061       -2.0061       
9             9000          -2.1442       -0.0461       -2.1903       -2.1903       
10            10000         -2.9224       -0.108        -3.0304       -3.0304       
11            11000         -0.6138       -0.0544       -0.6682       -0.6682       
12            12000         -2.7933       -0.0838       -2.8771       -2.8771       
13            13000         -2.8886       -0.0565       -2.9451       -2.9451       
14            14000         -1.689        -0.0836       -1.7726       -1.7726       
15            15000         -1.9237       -0.0642       -1.9879       -1.9879       
16            16000         -3.0992       -0.0777       -3.1769       -3.1769       
17            17000         -1.9924       -0.075        -2.0674       -2.0674       
18            18000         -3.1842       -0.0742       -3.2584       -3.2584       
19            19000         -2.9925       -0.0428       -3.0353       -3.0353       
20            20000         -2.6855       -0.0516       -2.7371       -2.7371       
21            21000         -3.0094       -0.0536       -3.063        -3.063        
22            22000         -3.6965       -0.0572       -3.7537       -3.7537       
23            23000         -1.8246       -0.084        -1.9086       -1.9086       
24            24000         -3.1053       -0.0674       -3.1727       -3.1727       
25            25000         -2.4548       -0.0723       -2.5271       -2.5271       
26            26000         -3.1338       -0.0667       -3.2005       -3.2005       
27            27000         -1.7108       -0.0721       -1.7829       -1.7829       
28            28000         -3.1873       -0.0774       -3.2647       -3.2647       
29            29000         -2.0864       -0.0628       -2.1492       -2.1492       
30            30000         -2.5688       -0.0484       -2.6172       -2.6172       
31            31000         -1.5001       -0.0548       -1.5549       -1.5549       
32            32000         -1.6408       -0.0479       -1.6887       -1.6887       
33            33000         -2.2233       -0.0375       -2.2608       -2.2608       
34            34000         -2.6617       -0.0406       -2.7023       -2.7023       
35            35000         -3.6231       -0.0606       -3.6837       -3.6837       
36            36000         -3.2661       -0.0639       -3.33         -3.33         
37            37000         -1.3865       -0.0428       -1.4293       -1.4293       
38            38000         -2.0009       -0.0881       -2.089        -2.089        
39            39000         -0.9149       -0.0614       -0.9763       -0.9763       
40            40000         -1.215        -0.0598       -1.2748       -1.2748       
41            41000         -1.3711       -0.0775       -1.4486       -1.4486       
42            42000         -1.9134       -0.0409       -1.9543       -1.9543       
43            43000         -1.8976       -0.0728       -1.9704       -1.9704       
44            44000         -1.1169       -0.082        -1.1989       -1.1989       
45            45000         -1.6983       -0.0809       -1.7792       -1.7792       
46            46000         -1.5946       -0.08         -1.6746       -1.6746       
47            47000         -1.686        -0.0742       -1.7602       -1.7602       
48            48000         -1.8814       -0.0551       -1.9365       -1.9365       
49            49000         -1.1302       -0.0555       -1.1857       -1.1857       
50            50000         -1.6195       -0.0588       -1.6783       -1.6783       
51            51000         -0.9699       -0.0547       -1.0246       -1.0246       
52            52000         -1.9247       -0.0423       -1.967        -1.967        
53            53000         -1.5308       -0.0573       -1.5881       -1.5881       
54            54000         -2.8426       -0.0477       -2.8903       -2.8903       
