         1 MEMB     1        POPC     N        NTL     -0.600000       14.0070           0
         2 MEMB     1        POPC     C12      CTL2    -0.100000       12.0110           0
         3 MEMB     1        POPC     H12A     HL       0.250000       1.00800           0
         4 MEMB     1        POPC     H12B     HL       0.250000       1.00800           0
         5 MEMB     1        POPC     C13      CTL5    -0.350000       12.0110           0
         6 MEMB     1        POPC     H13A     HL       0.250000       1.00800           0
         7 MEMB     1        POPC     H13B     HL       0.250000       1.00800           0
         8 MEMB     1        POPC     H13C     HL       0.250000       1.00800           0
         9 MEMB     1        POPC     C14      CTL5    -0.350000       12.0110           0
        10 MEMB     1        POPC     H14A     HL       0.250000       1.00800           0
        11 MEMB     1        POPC     H14B     HL       0.250000       1.00800           0
        12 MEMB     1        POPC     H14C     HL       0.250000       1.00800           0
        13 MEMB     1        POPC     C15      CTL5    -0.350000       12.0110           0
        14 MEMB     1        POPC     H15A     HL       0.250000       1.00800           0
        15 MEMB     1        POPC     H15B     HL       0.250000       1.00800           0
        16 MEMB     1        POPC     H15C     HL       0.250000       1.00800           0
        17 MEMB     1        POPC     C11      CTL2    -0.800000E-01   12.0110           0
        18 MEMB     1        POPC     H11A     HAL2     0.900000E-01   1.00800           0
        19 MEMB     1        POPC     H11B     HAL2     0.900000E-01   1.00800           0
        20 MEMB     1        POPC     P        PL       1.50000        30.9740           0
        21 MEMB     1        POPC     O13      O2L     -0.780000       15.9994           0
        22 MEMB     1        POPC     O14      O2L     -0.780000       15.9994           0
        23 MEMB     1        POPC     O12      OSLP    -0.570000       15.9994           0
        24 MEMB     1        POPC     O11      OSLP    -0.570000       15.9994           0
        25 MEMB     1        POPC     C1       CTL2    -0.800000E-01   12.0110           0
        26 MEMB     1        POPC     HA       HAL2     0.900000E-01   1.00800           0
        27 MEMB     1        POPC     HB       HAL2     0.900000E-01   1.00800           0
        28 MEMB     1        POPC     C2       CTL1     0.170000       12.0110           0
        29 MEMB     1        POPC     HS       HAL1     0.900000E-01   1.00800           0
        30 MEMB     1        POPC     O21      OSL     -0.490000       15.9994           0
        31 MEMB     1        POPC     C21      CL       0.900000       12.0110           0
        32 MEMB     1        POPC     O22      OBL     -0.630000       15.9994           0
        33 MEMB     1        POPC     C22      CTL2    -0.220000       12.0110           0
        34 MEMB     1        POPC     H2R      HAL2     0.900000E-01   1.00800           0
        35 MEMB     1        POPC     H2S      HAL2     0.900000E-01   1.00800           0
        36 MEMB     1        POPC     C3       CTL2     0.800000E-01   12.0110           0
        37 MEMB     1        POPC     HX       HAL2     0.900000E-01   1.00800           0
        38 MEMB     1        POPC     HY       HAL2     0.900000E-01   1.00800           0
        39 MEMB     1        POPC     O31      OSL     -0.490000       15.9994           0
        40 MEMB     1        POPC     C31      CL       0.900000       12.0110           0
        41 MEMB     1        POPC     O32      OBL     -0.630000       15.9994           0
        42 MEMB     1        POPC     C32      CTL2    -0.220000       12.0110           0
        43 MEMB     1        POPC     H2X      HAL2     0.900000E-01   1.00800           0
        44 MEMB     1        POPC     H2Y      HAL2     0.900000E-01   1.00800           0
        45 MEMB     1        POPC     C23      CTL2    -0.180000       12.0110           0
        46 MEMB     1        POPC     H3R      HAL2     0.900000E-01   1.00800           0
        47 MEMB     1        POPC     H3S      HAL2     0.900000E-01   1.00800           0
        48 MEMB     1        POPC     C24      CTL2    -0.180000       12.0110           0
        49 MEMB     1        POPC     H4R      HAL2     0.900000E-01   1.00800           0
        50 MEMB     1        POPC     H4S      HAL2     0.900000E-01   1.00800           0
        51 MEMB     1        POPC     C25      CTL2    -0.180000       12.0110           0
        52 MEMB     1        POPC     H5R      HAL2     0.900000E-01   1.00800           0
        53 MEMB     1        POPC     H5S      HAL2     0.900000E-01   1.00800           0
        54 MEMB     1        POPC     C26      CTL2    -0.180000       12.0110           0
        55 MEMB     1        POPC     H6R      HAL2     0.900000E-01   1.00800           0
        56 MEMB     1        POPC     H6S      HAL2     0.900000E-01   1.00800           0
        57 MEMB     1        POPC     C27      CTL2    -0.180000       12.0110           0
        58 MEMB     1        POPC     H7R      HAL2     0.900000E-01   1.00800           0
        59 MEMB     1        POPC     H7S      HAL2     0.900000E-01   1.00800           0
        60 MEMB     1        POPC     C28      CTL2    -0.180000       12.0110           0
        61 MEMB     1        POPC     H8R      HAL2     0.900000E-01   1.00800           0
        62 MEMB     1        POPC     H8S      HAL2     0.900000E-01   1.00800           0
        63 MEMB     1        POPC     C29      CEL1    -0.150000       12.0110           0
        64 MEMB     1        POPC     H91      HEL1     0.150000       1.00800           0
        65 MEMB     1        POPC     C210     CEL1    -0.150000       12.0110           0
        66 MEMB     1        POPC     H101     HEL1     0.150000       1.00800           0
