Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -62.4907      +0.1319       -62.3588      -62.3588      
1             1             -41.5498      -1.3665       -42.9163      -42.9163      
2             2             -56.8283      +0.802        -56.0263      -56.0263      
3             3             -60.3202      -0.7147       -61.0349      -61.0349      
4             4             -62.2242      -0.0695       -62.2937      -62.2937      
5             5             -40.9545      -1.7184       -42.6729      -42.6729      
6             6             -24.7581      -1.8953       -26.6534      -26.6534      
7             7             -42.3507      -1.5529       -43.9036      -43.9036      
8             8             -36.9216      -0.8621       -37.7837      -37.7837      
9             9             -47.9781      -2.4081       -50.3862      -50.3862      
10            10            -40.2119      -2.1416       -42.3535      -42.3535      
11            11            -47.8141      -2.2939       -50.108       -50.108       
12            12            -24.6418      -1.0573       -25.6991      -25.6991      
13            13            -37.3262      -0.7084       -38.0346      -38.0346      
14            14            -43.8918      -1.8287       -45.7205      -45.7205      
15            15            -40.3233      -2.169        -42.4923      -42.4923      
16            16            -36.0423      -1.0847       -37.127       -37.127       
17            17            -36.0396      -0.21         -36.2496      -36.2496      
18            18            -33.1312      -1.2784       -34.4096      -34.4096      
19            19            -40.9776      -2.0352       -43.0128      -43.0128      
20            20            -39.521       -2.1665       -41.6875      -41.6875      
21            21            -46.3628      -1.74         -48.1028      -48.1028      
22            22            -45.198       -2.1161       -47.3141      -47.3141      
23            23            -65.4224      +2.532        -62.8904      -62.8904      
24            24            -38.9124      -2.2595       -41.1719      -41.1719      
25            25            -34.4437      -1.4825       -35.9262      -35.9262      
26            26            -55.8374      -0.7511       -56.5885      -56.5885      
27            27            -46.4523      +0.9485       -45.5038      -45.5038      
28            28            -42.4652      -2.119        -44.5842      -44.5842      
29            29            -36.0218      -1.6747       -37.6965      -37.6965      
30            30            -40.8614      -0.9286       -41.79        -41.79        
31            31            -33.166       -1.4833       -34.6493      -34.6493      
32            32            -34.8891      -1.0313       -35.9204      -35.9204      
33            33            -38.4949      -1.2872       -39.7821      -39.7821      
34            34            -45.8574      -1.6744       -47.5318      -47.5318      
35            35            -45.9249      -1.9701       -47.895       -47.895       
36            36            -39.5633      +0.0152       -39.5481      -39.5481      
37            37            -35.8583      -1.3326       -37.1909      -37.1909      
38            38            -37.8114      -1.8454       -39.6568      -39.6568      
39            39            -44.8679      -1.2484       -46.1163      -46.1163      
40            40            -40.6776      -2.0377       -42.7153      -42.7153      
41            41            -25.9339      -1.636        -27.5699      -27.5699      
42            42            -32.5083      -1.5001       -34.0084      -34.0084      
43            43            -44.8384      -1.2338       -46.0722      -46.0722      
44            44            -34.6984      -1.0658       -35.7642      -35.7642      
45            45            -26.3653      -1.2852       -27.6505      -27.6505      
46            46            -27.3806      -1.124        -28.5046      -28.5046      
47            47            -36.4879      -0.6632       -37.1511      -37.1511      
48            48            -27.8078      -1.1999       -29.0077      -29.0077      
49            49            -20.1525      -1.1751       -21.3276      -21.3276      
50            50            -21.6582      -0.9772       -22.6354      -22.6354      
51            51            -24.5832      -1.3012       -25.8844      -25.8844      
52            52            -29.2599      -1.3866       -30.6465      -30.6465      
53            53            -28.6257      -1.6708       -30.2965      -30.2965      
54            54            -27.0678      -1.6606       -28.7284      -28.7284      
55            55            -42.8019      -2.0295       -44.8314      -44.8314      
56            56            -58.2782      +0.1824       -58.0958      -58.0958      
57            57            -43.6561      -1.5613       -45.2174      -45.2174      
58            58            -33.5445      -0.7938       -34.3383      -34.3383      
59            59            -41.3105      -1.471        -42.7815      -42.7815      
60            60            -60.1414      -0.0867       -60.2281      -60.2281      
61            61            -41.5706      -1.4831       -43.0537      -43.0537      
62            62            -58.4097      -0.8302       -59.2399      -59.2399      
63            63            -53.2761      -1.5479       -54.824       -54.824       
64            64            -64.4474      +0.0019       -64.4455      -64.4455      
65            65            -49.6236      -1.3268       -50.9504      -50.9504      
66            66            -55.4547      -0.702        -56.1567      -56.1567      
67            67            -49.935       -1.2611       -51.1961      -51.1961      
68            68            -66.7893      +1.7893       -65           -65           
69            69            -57.2436      +0.267        -56.9766      -56.9766      
70            70            -51.5087      -0.9463       -52.455       -52.455       
71            71            -41.8989      -1.5486       -43.4475      -43.4475      
72            72            -56.8631      -1.7304       -58.5935      -58.5935      
73            73            -56.3162      -0.6682       -56.9844      -56.9844      
74            74            -52.3561      -0.7644       -53.1205      -53.1205      
75            75            -55.2712      -0.7522       -56.0234      -56.0234      
76            76            -40.4411      -1.4285       -41.8696      -41.8696      
77            77            -56.136       +0.117        -56.019       -56.019       
78            78            -45.5459      -1.1948       -46.7407      -46.7407      
79            79            -49.8914      -1.0692       -50.9606      -50.9606      
80            80            -35.6038      -1.2139       -36.8177      -36.8177      
81            81            -46.1434      -0.7246       -46.868       -46.868       
82            82            -57.3629      -0.8762       -58.2391      -58.2391      
83            83            -44.4646      -1.5171       -45.9817      -45.9817      
84            84            -46.8641      -1.5204       -48.3845      -48.3845      
85            85            -53.2345      -0.4418       -53.6763      -53.6763      
86            86            -49.8826      -1.2654       -51.148       -51.148       
87            87            -54.8913      -0.7001       -55.5914      -55.5914      
88            88            -38.5636      -1.4612       -40.0248      -40.0248      
89            89            -55.7595      -0.3008       -56.0603      -56.0603      
90            90            -45.5357      -1.3676       -46.9033      -46.9033      
91            91            -47.3251      -1.6528       -48.9779      -48.9779      
92            92            -47.4064      -1.0749       -48.4813      -48.4813      
93            93            -38.8419      -1.4197       -40.2616      -40.2616      
94            94            -48.0069      -1.4594       -49.4663      -49.4663      
95            95            -57.7602      +0.0656       -57.6946      -57.6946      
96            96            -58.0625      -0.557        -58.6195      -58.6195      
97            97            -41.3773      -1.0892       -42.4665      -42.4665      
98            98            -48.4792      -1.4614       -49.9406      -49.9406      
99            99            -47.1716      -1.3768       -48.5484      -48.5484      
100           100           -47.5039      -1.177        -48.6809      -48.6809      
101           101           -54.6005      -1.354        -55.9545      -55.9545      
102           102           -49.5042      -1.5004       -51.0046      -51.0046      
103           103           -48.3551      -1.1715       -49.5266      -49.5266      
104           104           -50.24        -1.4356       -51.6756      -51.6756      
105           105           -54.3843      -0.283        -54.6673      -54.6673      
106           106           -57.6843      -1.4254       -59.1097      -59.1097      
107           107           -43.4689      -1.5557       -45.0246      -45.0246      
108           108           -53.1346      -0.2947       -53.4293      -53.4293      
109           109           -49.1568      -1.3902       -50.547       -50.547       
110           110           -36.7471      -1.625        -38.3721      -38.3721      
111           111           -46.5005      -1.4724       -47.9729      -47.9729      
112           112           -53.904       -0.2211       -54.1251      -54.1251      
113           113           -57.3145      +0.4634       -56.8511      -56.8511      
114           114           -51.1611      -1.4905       -52.6516      -52.6516      
115           115           -56.2845      -1.3206       -57.6051      -57.6051      
116           116           -50.7528      -1.0329       -51.7857      -51.7857      
117           117           -39.3614      -1.6026       -40.964       -40.964       
118           118           -48.5711      -1.5143       -50.0854      -50.0854      
119           119           -47.2245      -1.7864       -49.0109      -49.0109      
120           120           -55.2772      -1.1163       -56.3935      -56.3935      
121           121           -60.3184      -0.3241       -60.6425      -60.6425      
122           122           -47.484       -1.1039       -48.5879      -48.5879      
123           123           -37.0365      -1.3487       -38.3852      -38.3852      
124           124           -49.7941      -1.5615       -51.3556      -51.3556      
125           125           -55.8711      -1.3747       -57.2458      -57.2458      
126           126           -49.9397      -1.8028       -51.7425      -51.7425      
127           127           -48.6978      -1.7516       -50.4494      -50.4494      
128           128           -61.8119      +1.709        -60.1029      -60.1029      
129           129           -58.8059      +1.5043       -57.3016      -57.3016      
130           130           -52.9519      -0.4597       -53.4116      -53.4116      
131           131           -61.0458      +0.6528       -60.393       -60.393       
132           132           -49.0849      -1.618        -50.7029      -50.7029      
133           133           -48.9598      -0.4304       -49.3902      -49.3902      
134           134           -44.7642      -2.0305       -46.7947      -46.7947      
135           135           -55.8973      -1.615        -57.5123      -57.5123      
136           136           -46.54        -2.9078       -49.4478      -49.4478      
137           137           -54.1865      -2.7824       -56.9689      -56.9689      
138           138           -48.5319      -1.9226       -50.4545      -50.4545      
139           139           -55.4548      -1.695        -57.1498      -57.1498      
140           140           -53.0712      -1.7144       -54.7856      -54.7856      
141           141           -58.8838      -1.3097       -60.1935      -60.1935      
142           142           -42.2364      -1.7312       -43.9676      -43.9676      
143           143           -51.5472      -1.7941       -53.3413      -53.3413      
144           144           -65.6686      +3.1725       -62.4961      -62.4961      
145           145           -50.9918      -1.5354       -52.5272      -52.5272      
146           146           -48.4877      -1.5567       -50.0444      -50.0444      
147           147           -60.7826      -0.6855       -61.4681      -61.4681      
148           148           -61.2747      -1.0245       -62.2992      -62.2992      
149           149           -63.9352      +2.8925       -61.0427      -61.0427      
150           150           -55.5072      -1.9198       -57.427       -57.427       
151           151           -60.5012      +2.6717       -57.8295      -57.8295      
152           152           -54.79        -0.9247       -55.7147      -55.7147      
153           153           -59.6542      +1.3113       -58.3429      -58.3429      
154           154           -56.8193      -0.2126       -57.0319      -57.0319      
155           155           -45.1869      -1.6716       -46.8585      -46.8585      
156           156           -61.0648      +1.5355       -59.5293      -59.5293      
157           157           -58.4154      +0.5723       -57.8431      -57.8431      
158           158           -55.2611      -0.9905       -56.2516      -56.2516      
