Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -60.3327      +0.3475       -59.9852      -59.9852      
1             1             -57.6589      -4.2093       -61.8682      -61.8682      
2             2             -47.0005      -6.2474       -53.2479      -53.2479      
3             3             -56.9775      -2.1117       -59.0892      -59.0892      
4             4             -57.5515      +0.2376       -57.3139      -57.3139      
5             5             -50.1347      -4.0255       -54.1602      -54.1602      
6             6             -36.7681      -4.4096       -41.1777      -41.1777      
7             7             -41.253       -5.6087       -46.8617      -46.8617      
8             8             -47.9575      -4.6497       -52.6072      -52.6072      
9             9             -41.4338      -6.1015       -47.5353      -47.5353      
10            10            -45.0489      -5.5589       -50.6078      -50.6078      
11            11            -54.2943      -1.2795       -55.5738      -55.5738      
12            12            -37.7411      -5.9594       -43.7005      -43.7005      
13            13            -56.0988      -5.1535       -61.2523      -61.2523      
14            14            -56.8855      -3.2237       -60.1092      -60.1092      
15            15            -43.1185      -5.5605       -48.679       -48.679       
16            16            -45.7335      -5.1613       -50.8948      -50.8948      
17            17            -47.4669      -5.7586       -53.2255      -53.2255      
18            18            -57.0183      -2.0022       -59.0205      -59.0205      
19            19            -49.8877      -4.2658       -54.1535      -54.1535      
20            20            -48.5027      -3.4864       -51.9891      -51.9891      
21            21            -42.3818      -5.3235       -47.7053      -47.7053      
22            22            -47.1819      -4.1516       -51.3335      -51.3335      
23            23            -52.5414      -2.7455       -55.2869      -55.2869      
24            24            -48.4647      -4.4949       -52.9596      -52.9596      
25            25            -51.8004      -4.2514       -56.0518      -56.0518      
26            26            -49.7377      -2.5606       -52.2983      -52.2983      
27            27            -44.4906      -5.4125       -49.9031      -49.9031      
28            28            -54.1755      -3.4506       -57.6261      -57.6261      
29            29            -46.5129      -5.8554       -52.3683      -52.3683      
30            30            -42.7277      -6.0677       -48.7954      -48.7954      
31            31            -52.8015      -2.3937       -55.1952      -55.1952      
32            32            -50.6519      -3.7101       -54.362       -54.362       
33            33            -50.6881      -2.7948       -53.4829      -53.4829      
34            34            -51.9748      -5.3251       -57.2999      -57.2999      
35            35            -47.6161      -4.7756       -52.3917      -52.3917      
36            36            -56.0164      -3.3303       -59.3467      -59.3467      
37            37            -41.6861      -5.283        -46.9691      -46.9691      
38            38            -54.482       -5.3667       -59.8487      -59.8487      
39            39            -46.5923      -3.6452       -50.2375      -50.2375      
40            40            -62.4741      -1.352        -63.8261      -63.8261      
41            41            -61.4028      -3.5177       -64.9205      -64.9205      
42            42            -53.7625      -2.1447       -55.9072      -55.9072      
43            43            -45.7073      -4.8771       -50.5844      -50.5844      
44            44            -42.1225      -4.66         -46.7825      -46.7825      
45            45            -43.2219      -5.3254       -48.5473      -48.5473      
46            46            -49.5413      -4.2435       -53.7848      -53.7848      
47            47            -47.3241      -3.7334       -51.0575      -51.0575      
48            48            -51.1254      -4.6814       -55.8068      -55.8068      
49            49            -46.5398      -5.1174       -51.6572      -51.6572      
50            50            -47.8783      -5.4427       -53.321       -53.321       
51            51            -57.642       -2.55         -60.192       -60.192       
52            52            -52.8623      -0.5699       -53.4322      -53.4322      
53            53            -48.2066      -4.9448       -53.1514      -53.1514      
54            54            -49.8893      -5.5407       -55.43        -55.43        
55            55            -56.7157      -4.5763       -61.292       -61.292       
56            56            -49.4282      -3.9219       -53.3501      -53.3501      
57            57            -55.9786      -2.9714       -58.95        -58.95        
58            58            -48.6487      -5.2946       -53.9433      -53.9433      
59            59            -50.534       -4.5555       -55.0895      -55.0895      
60            60            -59.239       -1.6394       -60.8784      -60.8784      
61            61            -59.4928      -4.5214       -64.0142      -64.0142      
62            62            -50.923       -1.1011       -52.0241      -52.0241      
63            63            -49.0278      -5.5717       -54.5995      -54.5995      
64            64            -47.4676      -3.7522       -51.2198      -51.2198      
65            65            -50.8393      -4.9569       -55.7962      -55.7962      
66            66            -49.2068      -5.549        -54.7558      -54.7558      
67            67            -42.4523      -4.4968       -46.9491      -46.9491      
68            68            -52.2493      -3.2825       -55.5318      -55.5318      
69            69            -50.2349      -4.5023       -54.7372      -54.7372      
70            70            -54.2325      -1.3831       -55.6156      -55.6156      
71            71            -56.422       -0.8144       -57.2364      -57.2364      
72            72            -59.0021      -2.2319       -61.234       -61.234       
73            73            -53.6523      -3.0365       -56.6888      -56.6888      
74            74            -41.3135      -5.6821       -46.9956      -46.9956      
75            75            -44.1575      -4.9511       -49.1086      -49.1086      
76            76            -48.5668      -4.6542       -53.221       -53.221       
77            77            -42.3258      -2.4491       -44.7749      -44.7749      
78            78            -50.5191      -4.7819       -55.301       -55.301       
79            79            -59.9334      -2.5459       -62.4793      -62.4793      
80            80            -48.7543      -3.8954       -52.6497      -52.6497      
81            81            -43.2009      -4.8634       -48.0643      -48.0643      
82            82            -54.9093      -4.8244       -59.7337      -59.7337      
83            83            -49.309       -3.9338       -53.2428      -53.2428      
84            84            -44.7697      -5.4277       -50.1974      -50.1974      
85            85            -48.8517      -3.4675       -52.3192      -52.3192      
